категория,CLIENT_ID,fin_segment,first_prod_ddateid,first_prod,age,gender,cnt_zp,cnt_open_zp,cnt_deb,cnt_open_deb,rest_debet_card,rest_safe,cnt_cc,cnt_cc_with_lim,rest_cc_limit,cnt_csf,cnt_active_csf,rest_csf_start,cnt_pil,cnt_active_pil,rest_pil_start,cnt_depo,cnt_active_depo,rest_depo_now,cnt_cash,cnt_pos,cnt_easy_installment,flg_currency
оформили PIL,1,2,20121007,CSF,47,M,0,0,0,0,0.00,0.00,5,1,30000,5,1,"20,000",2,1,59920,0,0,0,31,6,0,Нет
оформили PIL,2,0,20180817,CC,63,F,0,0,0,0,0.00,0.00,3,0,0,0,0,0,2,1,32820,0,0,0,0,0,0,Нет
оформили PIL,3,2,20141128,CSF,48,F,1,1,0,0,65.27,0.00,2,2,32000,2,0,0,1,0,0,0,0,0,9,0,0,Нет
оформили PIL,4,2,20170728,CSF,43,F,0,0,0,0,0.00,0.00,4,1,17500,1,0,0,3,1,50250,0,0,0,13,5,0,Нет
оформили PIL,5,0,20110911,CSF,62,F,0,0,3,1,0.00,0.00,1,1,9050,2,0,0,2,1,5360,0,0,0,0,0,0,Нет
оформили PIL,6,2,20141014,CSF,34,F,0,0,0,0,0.00,0.00,2,1,7000,3,1,"11,125",1,0,0,0,0,0,4,0,0,Нет
оформили PIL,7,2,20181226,CC,41,M,0,0,0,0,0.00,0.00,2,1,3000,0,0,0,2,1,23500,0,0,0,0,0,0,Нет
оформили PIL,8,2,20180821,CSF,42,M,0,0,0,0,0.00,0.00,1,0,0,1,0,0,1,1,19057.6,0,0,0,0,0,0,Нет
оформили PIL,9,2,20120725,CSF,34,F,0,0,3,0,0.00,0.00,2,1,18500,1,0,0,3,1,40000,0,0,0,8,1,0,Нет
оформили PIL,10,0,20120810,CSF,59,M,0,0,1,0,0.00,0.00,4,0,0,2,0,0,4,1,30250,0,0,0,0,0,0,Нет
оформили PIL,11,1,20151230,CC,56,M,0,0,0,0,0.00,0.00,4,2,15800,0,0,0,3,1,45337,0,0,0,0,12,0,Нет
оформили PIL,12,2,20180629,CSF,33,F,0,0,0,0,0.00,0.00,2,2,18400,1,0,0,1,1,49999,0,0,0,4,1,0,Нет
оформили PIL,13,2,20120207,DEB,54,F,0,0,2,0,0.00,0.00,5,1,6000,2,0,0,4,1,94865.07,0,0,0,2,0,0,Нет
оформили PIL,14,2,20170201,CC,43,F,1,1,0,0,0.00,0.00,5,2,43650,1,0,0,3,1,80250,0,0,0,2,2,0,Нет
оформили PIL,15,2,20160714,CC,42,M,0,0,1,1,827.16,0.00,7,2,26250,0,0,0,6,1,149247,0,0,0,2,53,0,Нет
оформили PIL,16,5,20170804,CSF,52,F,0,0,0,0,0.00,0.00,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,17,2,20120306,CSF,50,M,0,0,1,0,0.00,0.00,6,1,19000,3,1,"6,258",4,1,64240,0,0,0,0,2,0,Нет
оформили PIL,18,2,20100206,DEB,53,F,0,0,3,1,0.00,0.00,5,0,0,1,0,0,5,1,58000,0,0,0,0,0,0,Нет
оформили PIL,19,2,20180706,CC,46,F,0,0,1,1,0.00,0.00,3,0,0,1,0,0,2,1,50000,0,0,0,0,0,0,Нет
оформили PIL,20,2,20110829,DEB,35,M,0,0,1,0,0.00,0.00,2,0,0,1,0,0,2,1,55000,0,0,0,0,0,0,Нет
оформили PIL,21,2,20160705,ZP,36,F,1,0,0,0,0.00,0.00,5,1,33000,0,0,0,3,2,64000,0,0,0,33,18,0,Нет
оформили PIL,22,1,20150414,CC,52,M,0,0,0,0,0.00,0.00,4,2,31500,1,0,0,2,1,46720,0,0,0,1,0,0,Нет
оформили PIL,23,2,20170820,CC,39,F,0,0,0,0,0.00,0.00,3,2,35100,1,0,0,2,2,78562.18,0,0,0,1,0,0,Нет
оформили PIL,24,2,20170920,CSF,33,F,0,0,0,0,0.00,0.00,3,2,8000,1,0,0,2,1,75000,0,0,0,0,0,0,Нет
оформили PIL,25,1,20110923,DEB,47,F,0,0,2,0,0.00,0.00,3,2,40250,1,0,0,2,1,41000,0,0,0,1,0,0,Нет
оформили PIL,26,2,20190301,PIL,38,F,0,0,0,0,0.00,0.00,1,1,3800,0,0,0,2,1,51000,0,0,0,0,0,0,Нет
оформили PIL,27,2,20160527,CC,41,F,0,0,0,0,0.00,0.00,4,0,0,0,0,0,4,2,77376.88,0,0,0,0,0,0,Нет
оформили PIL,28,2,20141222,CC,40,M,1,1,0,0,2.38,151.54,3,2,44750,2,0,0,2,1,52250,0,0,0,35,22,0,Нет
оформили PIL,29,0,20190218,CC,66,F,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,0,0,0,0,0,5,16,0,Нет
оформили PIL,30,1,20161220,PIL,39,F,0,0,0,0,0.00,0.00,3,0,0,1,0,0,2,1,20000,0,0,0,0,0,0,Нет
оформили PIL,31,1,20120409,CSF,34,M,1,1,0,0,30.25,0.00,3,2,38250,1,0,0,1,1,99456,0,0,0,2,6,0,Нет
оформили PIL,32,2,20100816,DEB,59,F,0,0,4,0,0.00,0.00,3,2,30300,2,0,0,3,1,58536,0,0,0,0,0,0,Нет
оформили PIL,33,2,20170823,CSF,45,F,1,1,1,1,0.00,0.00,1,1,16600,1,0,0,1,1,66480,0,0,0,8,8,0,Нет
оформили PIL,34,0,20120817,CSF,68,F,0,0,3,1,0.00,0.00,1,1,13000,2,0,0,1,0,0,0,0,0,5,3,0,Нет
оформили PIL,35,2,20180519,CSF,38,M,0,0,0,0,0.00,0.00,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,36,2,20120331,CSF,51,M,0,0,2,0,0.00,0.00,2,1,16650,2,1,"10,500",3,1,10000,0,0,0,0,0,0,Нет
оформили PIL,37,2,20111122,DEB,45,M,0,0,2,0,0.00,0.00,3,0,0,0,0,0,4,1,65250,0,0,0,0,0,0,Нет
оформили PIL,38,0,20181229,CSF,54,M,0,0,0,0,0.00,0.00,1,0,0,1,1,"13,095",1,1,21680,0,0,0,1,0,0,Нет
оформили PIL,39,1,20170331,CC,33,M,0,0,0,0,0.00,0.00,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Нет
оформили PIL,40,3,20110511,ZP,35,F,2,1,0,0,37.61,0.00,1,1,5000,0,0,0,1,0,0,0,0,0,8,0,0,Нет
оформили PIL,41,0,20131222,CSF,44,F,0,0,0,0,0.00,0.00,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,42,2,20170623,CSF,46,M,0,0,0,0,0.00,0.00,2,2,35550,1,0,0,1,1,30250,0,0,0,2,7,0,Нет
оформили PIL,43,2,20171012,CC,53,M,0,0,0,0,0.00,0.00,2,2,24600,0,0,0,2,1,58850,0,0,0,1,29,0,Нет
оформили PIL,44,0,20160909,DEB,36,M,0,0,1,0,0.00,0.00,2,1,30850,1,0,0,2,0,0,0,0,0,0,0,0,Нет
оформили PIL,45,2,20170301,CSF,33,M,0,0,0,0,0.00,0.00,4,1,1550,1,0,0,2,1,70000,0,0,0,0,0,0,Нет
оформили PIL,46,2,20181016,CC,39,M,1,1,0,0,277.93,0.00,3,1,24050,0,0,0,2,0,0,0,0,0,23,20,0,Нет
оформили PIL,47,1,20110721,CSF,59,M,0,0,2,1,0.00,0.00,5,2,38700,2,0,0,3,1,60000,0,0,0,4,3,0,Нет
оформили PIL,48,2,20160317,CC,55,M,0,0,0,0,0.00,0.00,3,0,0,0,0,0,1,1,44000,0,0,0,0,0,0,Нет
оформили PIL,49,2,20171227,CC,58,F,0,0,1,1,0.00,0.00,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,Нет
оформили PIL,50,0,20101224,DEB,37,M,0,0,2,0,0.00,0.00,3,0,0,2,0,0,2,1,37516.54,0,0,0,0,0,0,Нет
оформили PIL,51,2,20160329,DT AP,56,M,3,2,0,0,0.00,0.00,2,2,7000,1,0,0,1,1,10250,0,0,0,11,0,0,Нет
оформили PIL,52,2,20160921,CC,40,M,0,0,1,1,0.00,0.00,4,2,21450,2,0,0,2,1,57200,0,0,0,3,55,0,Нет
оформили PIL,53,0,20110629,CC,45,F,0,0,0,0,0.00,0.00,2,1,27100,0,0,0,1,1,55000,0,0,0,0,1,0,Нет
оформили PIL,54,0,20170930,CSF,35,F,0,0,0,0,0.00,0.00,3,1,16000,1,0,0,2,1,27950,0,0,0,2,1,0,Нет
оформили PIL,55,2,20110830,CSF,54,M,0,0,3,0,0.00,0.00,2,0,0,1,0,0,6,2,248850,0,0,0,0,0,0,Нет
оформили PIL,56,0,20181123,CSF,47,M,0,0,0,0,0.00,0.00,2,1,19850,1,1,"60,149",1,1,26093.5,0,0,0,3,0,0,Нет
оформили PIL,57,1,20181228,CC,37,F,0,0,1,1,0.00,0.00,2,1,17800,0,0,0,1,1,25000,0,0,0,2,18,0,Нет
оформили PIL,58,1,20140611,CSF,43,F,0,0,0,0,0.00,0.00,3,2,13500,2,0,0,3,1,21500,0,0,0,2,8,0,Нет
оформили PIL,59,2,20130822,CSF,53,M,0,0,2,1,82.65,0.00,3,1,17550,1,0,0,4,1,70250,0,0,0,5,53,0,Нет
оформили PIL,60,2,20181207,DEB,57,F,0,0,1,1,0.00,0.00,2,1,1000,0,0,0,2,1,50000,0,0,0,0,0,0,Нет
оформили PIL,61,2,20190311,CC,38,M,0,0,1,1,0.00,0.00,2,0,0,2,2,"5,701",2,1,40000,0,0,0,0,0,0,Нет
оформили PIL,62,0,20170922,CSF,49,M,0,0,1,1,3.33,0.00,4,2,34200,2,0,0,3,1,35000,0,0,0,10,12,0,Нет
оформили PIL,63,2,20120720,CSF,34,F,0,0,3,0,0.00,0.00,5,2,36300,2,0,0,5,1,65608,0,0,0,40,18,0,Нет
оформили PIL,64,0,20160224,DEB,52,M,0,0,3,1,37.87,0.00,4,0,0,1,0,0,4,1,60000,0,0,0,0,1,0,Нет
оформили PIL,65,0,20140128,DEB,67,F,0,0,1,0,0.00,0.00,3,0,0,1,0,0,1,1,32000,0,0,0,0,0,0,Нет
оформили PIL,66,0,20181120,CC,61,F,0,0,0,0,0.00,0.00,3,1,4350,0,0,0,2,1,22850,0,0,0,1,0,0,Нет
оформили PIL,67,2,20100622,DEB,46,M,0,0,2,1,25.33,0.00,3,2,53900,0,0,0,2,2,166771.42,0,0,0,21,23,0,Нет
оформили PIL,68,0,20120718,CSF,57,M,0,0,2,1,0.00,0.00,5,1,5000,1,0,0,3,2,40250,0,0,0,3,0,0,Нет
оформили PIL,69,2,20151119,CC,38,M,0,0,0,0,0.00,0.00,4,2,53750,0,0,0,1,0,0,0,0,0,36,295,0,Нет
оформили PIL,70,0,20140306,CSF,57,M,0,0,1,1,0.00,0.00,3,2,20000,1,0,0,2,1,45250,0,0,0,3,7,0,Нет
оформили PIL,71,1,20181111,CSF,52,F,0,0,1,1,140.50,0.00,2,0,0,1,0,0,1,1,27350,0,0,0,0,0,0,Нет
оформили PIL,72,2,20140920,CSF,44,F,0,0,1,1,0.00,0.00,4,1,34950,2,0,0,2,1,35560,0,0,0,1,0,0,Нет
оформили PIL,73,2,20180514,CC,39,M,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,65250,0,0,0,0,0,0,Нет
